epoch,acc,loss,val_acc,val_loss
0,0.32533351910602604,1.7924631686580854,0.3962106529211194,1.6371980358977012
1,0.42850674004771333,1.5297641292577204,0.4664251990875815,1.4401272500987903
2,0.4799888536701,1.3987519495074223,0.4954026305773491,1.3979199581381736
3,0.5000870807084749,1.3385438816712407,0.48356089170520833,1.4208278496448428
4,0.5174683897040964,1.285008561163139,0.48983004782219125,1.372691281044357
5,0.5359643317431781,1.2483694026651972,0.5391474072877229,1.2688578234102674
6,0.5437667630370199,1.220224668062893,0.41947618692980465,1.6315443441458617
7,0.5495837542244524,1.200314746650767,0.5310671616311391,1.2660923437442444
8,0.5633425058385597,1.1781916304223279,0.548481483407906,1.207539466576893
9,0.5655369396377304,1.1625123548467828,0.5236834896353169,1.2962767595565894
10,0.5704482914765404,1.1454610994020855,0.5682641530736936,1.1553861798952636
11,0.576543940926525,1.1354286940690181,0.5456951920137195,1.227832384862153
12,0.5763001149486087,1.1225152654086266,0.5760657692805045,1.1354365516396894
13,0.582918248633352,1.1122708158012369,0.5557258412237784,1.239961329813321
14,0.5846250304792853,1.1044865827616233,0.5699359280492942,1.1620948981835204
15,0.5893622209104883,1.097003792287198,0.547645596075802,1.2073844445593744
16,0.5939252499237035,1.0842985933180525,0.5873502494523903,1.1168272736017568
17,0.6000557316531332,1.0740935339059503,0.584424643753697,1.136247042928791
18,0.5998467379572573,1.0725882542686007,0.5962663822750024,1.082196728687336
19,0.6072660141419067,1.05868741899408,0.5795486332850225,1.1376163100330203
20,0.6070221881681427,1.0519492033237225,0.5905544854623755,1.0933278481519864
21,0.607335678711178,1.0505794827486057,0.5651992323646707,1.1783655065805443
22,0.6107840746814519,1.0407749103309758,0.5969629552714604,1.0935909245116493
23,0.6155909296741405,1.0345954665312544,0.5954304950674552,1.1095734964002637
24,0.6155212651126549,1.0313653161464356,0.5993313027764303,1.080187953242554
25,0.6165662335863249,1.0274549840971439,0.5994706175480257,1.0971128865941533
26,0.6161830784792087,1.0264980396077885,0.5955698097663924,1.10983200973083
27,0.619631474454673,1.0204609965114593,0.5932014619811693,1.1034803102755653
28,0.6225225539039954,1.0117748338246304,0.595569809538038,1.0764357290028546
29,0.6227315476003903,1.0099481028957242,0.5980774720948564,1.0881268571461267
30,0.6209551011888189,1.0118182116389594,0.6022569089837312,1.0707696914604345
31,0.6263192727060924,1.0041884494208173,0.6040679985856107,1.0768709182884575
32,0.6305688111783486,0.9946441691124999,0.6110337269807732,1.050323554296768
33,0.6271900797700793,0.9961549708443694,0.6114516708513063,1.0563720267480896
34,0.6300463269399564,0.9942788994774441,0.6166063102175513,1.0456244036758733
35,0.6330767355184785,0.9853983167859304,0.6035107403088493,1.0850974567510618
36,0.6350621756264448,0.9797465363105738,0.5991919887521766,1.093599684251014
